id	name	popularity	available_markets	release_date	total_tracks
3jXzuxKhLD0UBVMAhXT6M0	New Years 2023	0	95	2022-12-16	50
2cnLCdaSaJNTunyhnJaNGE	Best of 2022: Trending Viral	0	95	2022-12-17	45
0Y4Y3HcWFSy9v5qne2KD5J	Tick Tock 2022	0	95	2022-12-17	72
5EyDEpgMhAs2IqYIlWSYxI	New Year's Eve Party 2022	0	95	2022-12-17	87
2cQ8APCKD5m7sNOiALvMqa	New Years 2023	2	95	2022-12-15	69
3rbOxUsB1PKIB8AZ4dAZ82	Party Playlist	0	94	2022-12-16	87
4Xsgjo2W1JMPigacukc84V	New Year's Eve Party	0	95	2022-12-17	98
3OUXwE9nsupsKI3JY4Ml73	Winter Blues 2023	0	95	2022-12-17	85
3jXzuxKhLD0UBVMAhXT6M0	New Years 2023	0	95	2022-12-16	50
3OUXwE9nsupsKI3JY4Ml73	Winter Blues 2023	0	95	2022-12-17	85
3jXzuxKhLD0UBVMAhXT6M0	New Years 2023	0	95	2022-12-16	50
2cQ8APCKD5m7sNOiALvMqa	New Years 2023	2	95	2022-12-15	69
2pcsNCEEkMMUgbQ8tm4joO	Cañonazos de Pop en Diciembre	0	94	2022-12-16	31
2pcsNCEEkMMUgbQ8tm4joO	Cañonazos de Pop en Diciembre	0	94	2022-12-16	31
2ctCZZ0CTNRLzhhbF0d2BX	Black Love Songs 2023	3	95	2022-12-14	79
2B4vuaj4MjLdHpJhVkQcXa	Mega Pop Hits	0	94	2022-12-16	30
7FR8BsDiO1kDkbVwFDlSJG	New Years House Party	0	95	2022-12-16	25
3D9ywEPUFSWuAt3DJitrFR	New Year's Eve 2023	0	95	2022-12-16	68
3D9ywEPUFSWuAt3DJitrFR	New Year's Eve 2023	0	95	2022-12-16	68
2lop0zAlLKn8isVV4HRjMV	Driving Music	0	95	2022-12-16	13
2B4vuaj4MjLdHpJhVkQcXa	Mega Pop Hits	0	94	2022-12-16	30
3ae9088CdzMh28DOWMLvIX	Fresh Start 2023	0	95	2022-12-16	25
