id	name	artist	genres	artist_followers	artist_popularity	markets	album	released_date	album_popularity	duration	explicit	popularity
40IvRPm1MXE4dOkEdCktcc	Viva La Vida	Shalom Margaret	slowed and reverb	23829	39	183	Viva La Vida	2020-09-25	38	176356	False	49
3qPE5f5cqAMEv65EdoKYWr	Tinder 101	7UPPERCUTS	rock viet	37628	36	183	CHÁI MÁI	2020-11-19	34	89645	False	38
4Aw8n6r2vuU0KUo1a2nftp	Louder than bombs	BTS	k-pop boy group,k-pop	58715441	92	182	MAP OF THE SOUL : 7	2020-02-21	79	217404	False	71
017PF4Q3l4DBUiWoXk4OWT	Break My Heart	Dua Lipa	uk pop,pop,dance pop	37668721	88	179	Future Nostalgia	2020-03-27	81	221820	False	78
26HhRCYJIZjOTpLcczJzeY	Nói Đi Là Đi	Tăng Phúc	v-pop	154651	43	183	Đổi Thay	2020-08-15	29	326066	False	39
79xFFmGKtEyky0I2G9U9Jg	yêu thì yêu không yêu thì yêu	AMEE	v-pop	823970	53	183	dreAMEE	2020-06-28	50	190285	False	40
1GIEc5p5IMs4zQeCUqLSp1	I Need a Girl	Lee		4715	38	183	Lo-fi of Lee	2020-03-27	44	248275	False	46
1xQ6trAsedVPCdbtDAmk0c	Savage Love (Laxed - Siren Beat)	Jawsh 685,Jason Derulo	nz pop,pop,pop rap,edm,dance pop,post-teen pop	108846,11638512	63,80	183	Savage Love (Laxed - Siren Beat)	2020-06-11	64	171374	True	76
6Svr3WVxSDjTJbcyqMAbHV	Tiểu Thuyết Tình Yêu	Tăng Phúc	v-pop	154651	43	183	Phúc Acoustic (Season 1)	2020-02-18	32	149827	False	40
2QeqvHnADmf2fN5sowptuO	Light a Flame	SEVENTEEN	k-pop boy group,k-pop	8092285	79	183	; [Semicolon]	2020-10-19	61	189586	False	65
4y4spB9m0Q6026KfkAvy9Q	Lonely (with benny blanco)	Justin Bieber,benny blanco	pop,pop rap,canadian pop,edm,electropop,dance pop	68258556,1014044	91,74	183	Lonely (with benny blanco)	2020-10-16	62	149297	True	73
