danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	id	duration_ms	time_signature	genre
0.442	0.467	2	-10.612	1	0.0317	0.234	0.473	0.685	0.175	75.489	6rjh6RlnZmeS1XzOAy841F	497209	4	experimental electronic
0.575	0.77	7	-7.252	1	0.0886	0.479	0	0.116	0.894	179.935	0l57iePpa93L0rC7W042kN	241000	3	nepali indie
0.711	0.333	2	-11.428	1	0.0268	0.831	0	0.11	0.455	100.004	7cKpWhrEnnqn5iaYvllaf9	277429	4	nepali indie
0.709	0.763	5	-6.092	1	0.0488	0.272	0	0.104	0.891	113.743	7vcu1mVIOlNU8WJVkPSnJM	154565	3	corrido
0.85	0.67	0	-5.327	1	0.0908	0.00974	8.11e-05	0.0228	0.935	115.017	1oP75mIKhxUPbdYadfKAts	270933	4	dance pop
0.614	0.664	7	-7.063	1	0.0312	0.373	0.0274	0.416	0.717	90.004	5e2uNRECz3wxqjUII7ls8F	185838	4	k-indie
0.56	0.88	5	-5.171	1	0.0881	0.0159	0	0.304	0.928	82.022	6KeXe06VzHAY1cYqP2JE4r	213107	4	dance pop
0.642	0.574	7	-7.916	1	0.183	0.00149	0.617	0.684	0.492	174.987	3JftDI58Yw94leFfWpYYON	267779	4	complextro
0.704	0.319	7	-14.521	1	0.0309	0.404	4.76e-06	0.225	0.707	111.054	0t9xFzNOfqws0DBbLzbU6x	149680	4	album rock
0.646	0.858	5	-5.629	1	0.0662	0.271	0.162	0.186	0.191	92.014	2Hn5UOJfoxmewGQ6ahr1fC	378207	4	alternative rock
0.794	0.763	3	-4.89	1	0.0463	0.249	0	0.0768	0.921	110.486	4bNioaWzvAVECUwYp2uVr2	210587	3	tierra caliente
0.572	0.912	11	-2.308	0	0.0488	0.000601	0.000206	0.324	0.961	102.7	6aj6zGXSr8DDWyZ5qgnH6w	145320	4	classic rock
0.136	0.939	10	-30.796	0	0.0444	0.126	0.985	0.916	0.0033	100.873	5ZPF3DfE3QPley03B7N9on	96693	3	environmental
0.33	0.791	1	-5.094	0	0.206	0.21	0.675	0.316	0.385	143.81	1mBEAeNLO7GLoRlev5VPo5	139552	3	experimental hip hop
0.239	0.5	2	-11.718	1	0.0358	0.041	0.737	0.128	0.238	131.436	44mzt1ihrrKCoiCagN6R0G	537333	4	art rock
