id	name	artist	genres	followers	artist popularity	markets	album	release date	album popularity	duration	explicit	popularity
6NtdcR3Lb0gAoEumwj2j4x	Intro 2022	Sơn Tùng M-TP	vietnamese melodic rap,v-pop	3794533	57	183	SKY DECADE	2022-10-06	50	83240	False	47
2bnJ8IxZnVc2YmUaX0sZap	JIKJIN	TREASURE	k-pop	2216440	69	182	THE SECOND STEP : CHAPTER ONE	2022-02-15	67	184117	False	71
10SRMwb9EuVS1K9rYsBfHQ	Yet To Come	BTS	k-pop,k-pop boy group	56892002	90	183	Proof	2022-06-10	84	193593	False	84
6I2tqFhk8tq69iursYxuxd	HOT	SEVENTEEN	k-pop,k-pop boy group	7807244	78	183	SEVENTEEN 4th Album 'Face the Sun'	2022-05-27	72	197586	False	79
6okl1ZUpu2gD54nYIkBG4D	2020 World Championship Theme	League of Legends	speedrun,video game music	1515248	78	183	2020 World Championship Theme	2020-09-10	35	163500	False	46
63irPUP3xB74fHdw1Aw9zR	MANIAC	Stray Kids	k-pop,k-pop boy group	9414264	81	181	ODDINARY	2022-03-18	73	182757	False	79
2TuYMu1asxVxdDFAJ7RPLc	2022	Nehi Banda		9	12	183	2022	2022-10-15	17	216278	True	28
1Rk6KwHRYt3ITTfpa0tv8B	Mistletoe	Justin Bieber	pop,canadian pop	67146152	89	95	Hits Noel 2022	2022-10-27	20	183066	False	4
5b1PngLlxc7hj3fJXrE2Zm	Glitch Mode	NCT DREAM	k-pop,k-pop boy group	5576843	70	183	Glitch Mode - The 2nd Album	2022-03-28	65	207053	False	67
7035sowF3NNYDfRUO8GF9H	2 Baddies	NCT 127	k-pop,k-pop boy group	5839118	71	33	2 Baddies - The 4th Album	2022-09-16	65	230293	False	69
7prkMaHnxATMkDmprAUbbl	2022	Jerz		11	9	183	2022	2022-07-22	10	139534	True	20
2TaXNMwQPFvGUWaKaSMpJQ	Mistletoe	Justin Bieber	pop,canadian pop	67146152	89	95	Weihnachten 2022	2022-11-08	2	183066	False	4
45sv69N1tMsztMhOj6yhfz	2022 Tanging Ain't Dead Cypher	Dre Cannon Music		189	29	183	2022 Tanging Ain't Dead Cypher	2022-02-21	36	139088	False	47
5lnGFSX6UakPMw1jKcsIsP	Shivers	Ed Sheeran	pop,uk pop	104581897	89	128	My Faves 2022	2022-11-04	1	207853	False	0
1KWAgz9XFsDzTfrb0p1Rtq	The Last Embrace	Anthony Neely		6332	27	180	Lesson One	2011-07-11	32	302986	False	39
2sqnLwsOK6EzpRe26Pe5zH	2step	Ed Sheeran,Lil Baby	trap,atl trap,uk pop,pop,atl hip hop,rap	104581897,12010642	89,89	134	FALL HITS 2022	2022-10-28	16	163449	False	3
