id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
733RnlYLskyvWMhhzs70sy	0.718	0.87	2	-6.227	1	0.0447	0.000178	0.234	0.0869	0.129	118.937	124034	4	drift phonk
1WRTkAAByYdNhoTLIf49bV	0.594	0.452	9	-7.243	1	0.0472	0.634	1.59e-06	0.082	0.509	180.095	258667	4	v-pop
7yAy2gL2rtatS56jzkakhr	0.847	0.551	3	-7.132	0	0.142	0.06	4.37e-06	0.162	0.515	95.036	165994	4	k-pop
6MxIazgQENgaa6StpFxGpu	0.593	0.437	0	-7.098	1	0.0552	0.699	0	0.0919	0.484	121.662	209600	4	k-pop
531r0RqWGUM483CwvWMRJn	0.324	0.244	9	-6.26	1	0.0316	0.78	0	0.122	0.234	170.036	359822	3	
2WnAKZefdRHxtBEkRjFOHC	0.685	0.521	2	-8.285	1	0.0345	0.185	3.59e-06	0.111	0.578	115.885	190779	4	canadian pop
3vx5M2CSL67Lj1oSPUzX9i	0.775	0.846	5	-3.323	0	0.273	0.181	0	0.386	0.522	100.06	177636	4	v-pop
0zPbUxvYRlCGwruakkXPLI	0.746	0.558	0	-7.47	0	0.088	0.545	0.00019	0.0904	0.638	90.013	154988	4	k-pop
0W4zqJhlLtG47spanglSbz	0.624	0.185	1	-11.36	0	0.0349	0.951	9.86e-06	0.102	0.331	75.975	303508	4	vietnamese pop
0vGVNj5Fmn4TU4foavNZG1	0.833	0.704	2	-3.074	1	0.0638	0.0689	0	0.0875	0.967	124.085	180909	4	comedy
098SeJGY7Xudt8bE5DWLZ5	0.632	0.377	7	-7.099	1	0.0311	0.733	2.42e-06	0.246	0.366	127.97	277792	4	v-pop
3GQ4GdXU8wBbPqBcKDTJ65	0.691	0.45	1	-12.395	1	0.145	0.335	0.000323	0.163	0.65	169.908	122500	4	singaporean pop
5XTs16ZLLcvIA8OCC7u7fc	0.475	0.278	1	-10.64	1	0.0359	0.776	6.49e-05	0.132	0.315	129.559	254773	4	v-pop
0glDqpRJ9WyPHI1AXk0GcD	0.517	0.656	2	-9.557	1	0.0357	0.136	0.000114	0.0683	0.207	143.98	310000	4	indie viet
2EmEXCi8ue7p5Xqmqz10kW	0.558	0.531	7	-5.114	0	0.0478	0.631	0	0.124	0.576	129.908	159629	4	adult standards
