id	name	popularity	available markets	release date	total tracks
6HNxbs1ePh4vjUv7fNe0xE	Saucester	19	183	2022-08-24	11
3R5UKfbGpobsD4KHNbYReV	Use Your Illusion II	18	182	2022-11-11	14
7jjwVpV95TJLQ5MInOnIVn	2022	6	183	2021-12-31	1
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
2prSTyweZ4v2FCJmRzHn6P	2022	20	183	2022-03-11	1
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
4Bol7gm6DKDOYXbGJghEjT	Do All Dogs Go To Heaven	8	183	2022-06-17	12
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
4uZSQL82wMa2qQiL8fDJX7	2022	6	183	2022-08-21	1
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
6wiWlvqCdeFPI4TDbrn3uN	2022	2	183	2022-08-22	1
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
4EiBojTExpeHfZthXxwxvT	2022	1	183	2022-01-27	1
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
0ThJfwpBxyMUrPyHMFMPaV	2022	1	183	2022-03-20	1
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
4TCcau3EhDdiBdWWL89BFN	2022	14	183	2022-10-27	1
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
4Baezws1jqRqlcven3w1oi	2022	9	183	2022-04-01	1
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
49gTjOizSmEPbYnkqK3Dcc	Smile & Laughs	6	183	2022-07-17	19
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
4cGeS56Ah84oGQCluRW5qm	things i hope you don't remember	10	183	2022-08-26	9
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
7mDfVVu9tfvMAkWlHTxDi7	2022	5	183	2022-01-01	4
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
1vpnlUGpwG9Ul9MjZH5Y8X	2022	4	183	2022-01-11	1
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
7k4J5qR8PM85DHAbWMWahB	2022	1	183	2022-10-20	1
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
6m6NB4ZyJZTVzkQpyfVKk6	Billy The Kid	2	183	2022-10-10	5
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
5zUwpYOKhsJkvmOq7hKovS	2022	14	183	2021-09-24	1
31wLzYDAzz7bHSVnopz1Nv	Arhbo [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]	20	183	2022-11-19	2
5Pe8Tik2SOuO7thmyRvyPW	2022	1	183	2022-05-16	1
6SUNBtxid3iF70ordzeeLu	Capodanno 2022 Canzoni per bambini	0	81	2022-11-20	60
2Q2By2VGyhgci1tt8IE9P9	2022	2	183	2022-02-17	1
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
722UdK4jKw9O7GwNSuRMkQ	2022	2	182	2022-01-16	1
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
22BtZeG6Kq2VvQVlZCgCAG	Use Your Illusion II (Deluxe Edition)	38	182	2022-11-11	27
22BtZeG6Kq2VvQVlZCgCAG	Use Your Illusion II (Deluxe Edition)	38	182	2022-11-11	27
22BtZeG6Kq2VvQVlZCgCAG	Use Your Illusion II (Deluxe Edition)	38	182	2022-11-11	27
3R5UKfbGpobsD4KHNbYReV	Use Your Illusion II	18	182	2022-11-11	14
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
22BtZeG6Kq2VvQVlZCgCAG	Use Your Illusion II (Deluxe Edition)	38	182	2022-11-11	27
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
22BtZeG6Kq2VvQVlZCgCAG	Use Your Illusion II (Deluxe Edition)	38	182	2022-11-11	27
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
3R5UKfbGpobsD4KHNbYReV	Use Your Illusion II	18	182	2022-11-11	14
3R5UKfbGpobsD4KHNbYReV	Use Your Illusion II	18	182	2022-11-11	14
3R5UKfbGpobsD4KHNbYReV	Use Your Illusion II	18	182	2022-11-11	14
22BtZeG6Kq2VvQVlZCgCAG	Use Your Illusion II (Deluxe Edition)	38	182	2022-11-11	27
3R5UKfbGpobsD4KHNbYReV	Use Your Illusion II	18	182	2022-11-11	14
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
3R5UKfbGpobsD4KHNbYReV	Use Your Illusion II	18	182	2022-11-11	14
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
6XCQ6n3fMz1qGcUVADbpY3	Football Anthems 2022	8	85	2022-11-11	20
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
7nII01joxrmJU3KQPLejxV	2022 Rewind	6	181	2022-11-11	70
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
